default,,
魅惑のマーメイド,Seductive Mermaid,
EU81_paizuri,,
Music,,
魅力的な歌声を持つ上級のマーメイド。その美しい声は聴いた者の戦意を奪い、たとえ耳をふさいだとしても指の隙間から聞こえるわずかな音だけで心の弱いものは魅了されてしまうという。 　大きな胸を使った愛撫が得意で、ひものような服を上にひっぱりあげ、叩きつけるようなパイズリを好んで行う。男が気持ちよくなるリズムを熟知したその動きは、容易に男を腰砕けにし、一度挟まれれば抵抗するのは難しい。射精して力が入らなくなったところを、水の中に引きずり込まれないよう、注意しなければならない。,A high-level mermaid with a charming singing voice. Her beautiful voice can disarm those who hear it. It is said that even if one covers their ears; the faint sound that leaks through the gaps between their fingers has the power to captivate the weak-willed. She excels at using her large breasts; preferring to perform a forceful type of paizuri where she lifts up her string-like garment and slams down. Her movements are expertly timed to a rhythm that men find pleasurable; effortlessly weakening their resolve. Once a man is ensnared by her; resisting becomes a challenging task. One must be careful not to be dragged into the water after ejaculating and losing strength.,
[1].１ターンに１度、発動できる。すべての相手キャラクターの攻撃力を300ポイントダウンさせる。その後、攻撃力が自分の攻撃力以下のすべての相手キャラクターに「魅了」を付与する。\n[2].このカードが手札から捨てられたとき、相手フィールド上の攻撃力0のモンスター１体を選択して発動する。そのカードをゲームから取り除き、このカードを墓地から特殊召喚する。その後、自身に「攻撃宣言不能(1ターン)」を付与する。,"[1]. Once per per turn; reduce the attack power of all opponent characters by 300 points. Afterward; inflict ""Charm"" on all opponent characters whose attack power is equal to or less than your own attack power.\n[2]. When this card is discarded from your hand; you may target one monster with 0 attack power on the opponent's field. Remove that card from the game and special summon this card from the graveyard with ""Cannot Declare an Attack (1 turn)"" applied to it."
[3].自分が手札から水属性カードを捨てたとき発動する。すべての相手キャラクターの攻撃力を200ポイントダウンさせる。,[3]. When you discard a Water attribute card from your hand; reduce the attack power of all opponent characters by 200 points.,
わたしの美しい歌声に聞きほれなさい❤\nら～♪ら～♪,Listen to my beautiful singing voice.❤ La~♪ So~♪,
うふふ❤歌の魔力に抗えなかった男の子がいるわね❤\nうっとりした顔して、かわいいわ❤,Ufufu~❤ There's a boy here who couldn't resist the magic of my song.❤ He looks utterly mesmerized; how cute.❤,
うふ❤おっぱいが気になるかしら？\nこの服、ほとんど胸が隠れてないものね。\n体が動けば、ずれて全部見えちゃうかも・・・❤,Ufufu~❤ Are my boobs distracting you? This outfit barely covers anything around my chest. If I move carelessly; it just might slip off and lay everything bare...❤,
はい、隙あり❤\nおっぱいに見とれて足が止まっているわよ。\nそんな無防備じゃ、あなたのこと簡単に押し倒せちゃう。,And voila! An opening~❤ You got distracted by my breasts, and your feet stopped. If you act so defenselessly; then I'll have no trouble pushing you down.
わたしの胸の中、とっても気持ちいいでしょう？\nほら、パイズリで天国に送ってあげる❤\n谷間から噴き出すぐらい、白いのたくさん出していいわよ❤うふふ❤,Doesn't your penis just feel so good enveloped inside my chest? Here; I'll send you to heaven with a paizuri.❤ Go ahead and let out lots of white semen; until it spills out from between my cleavage.❤ Ufufu~❤,
